sampleID,group,type,name,sex,breed,breed_r,sterilized,weight_lbs,bod_cond,donor,donor_r,donorID,response,IBD,antibiotics,vomiting,diarrhea,constipation,symptom,days_since,duration_days,wet_food,raw_food,dry_food,diet_combo,col_date,seq_date,date_of_birth,age_yrs,response2
1058CR,healthy,healthy,Carl Rogers,Male,Maine Coon,Maine Coon,Yes,18,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,NA,NA,NA,4,NA
1069CR,healthy,healthy,Stella Kitty,Female,Domestic Longhair,Domestic Longhair,Yes,10,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,NA,NA,NA,3,NA
1116CR,healthy,healthy,Julio,Male,Unknown,Unknown,Yes,NA,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Other,7/12/15,12/13/19,NA,4.5,NA
1124CR,healthy,healthy,Danny,Male,Maine Coon,Maine Coon,Yes,8,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,No,Wet,NA,NA,NA,9,NA
11F65E,recipient,before,Chaz,Female,Siamese,Siamese.Burmese,Yes,9.25,6,Fabiola,Fabiola,4EXDUK,Improved,Yes,No,No,No,Yes,Constipation,15,30,Yes,Yes,No,Wet.Raw,3/27/17,10/25/19,3/30/07,9.92,Responder
1239CR,healthy,healthy,Kroos,Male,Tabby Bengal,Tabby,Yes,13,NA,Healthy,NA,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,No,Wet,NA,NA,NA,8,NA
1257CR,healthy,healthy,That One,Female,Domestic Shorthair,Domestic Shorthair,Yes,11,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,NA,NA,NA,4,NA
1275CR,healthy,healthy,Maggie,Female,Domestic Shorthair,Domestic Shorthair,Yes,8,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,NA,NA,NA,5.83,NA
1276CR,healthy,healthy,Luxor,Male,Domestic Shorthair,Domestic Shorthair,Yes,13,NA,Healthy,Healthy,NA,healthy,No,Yes,No,No,No,NA,NA,NA,No,No,Yes,Dry,NA,NA,NA,8,NA
1299CR,healthy,healthy,Chak,Female,Domestic Shorthair,Domestic Shorthair,Yes,5,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,NA,NA,NA,6,NA
12A10A,recipient,after,Bo,Male,Domestic Shorthair,Domestic,Yes,12,5,Fiogus,Fiogus2,RVDKDV,Improved,No,Yes,No,Yes,No,Diarrhea,NA,18,Yes,No,No,Wet,4/24/17,11/1/19,3/2/12,5.08,Responder
1570CR,recipient,before,Chelsea,Female,Domestic Longhair,Domestic,Yes,NA,5,Fabiola,Fabiola,4EXDUK,Improved,Yes,No,Yes,Yes,No,VomDiarr,NA,NA,No,Yes,No,Raw,NA,1/8/19,NA,11.9,Responder
1598CR,recipient,after,Chelsea,Female,Domestic Longhair,Domestic,Yes,NA,5,Fabiola,Fabiola,4EXDUK,Improved,Yes,No,Yes,Yes,No,VomDiarr,NA,NA,No,Yes,No,Raw,6/26/17,9/8/21,NA,11.9,Responder
15X74K,recipient,after,Nyssa,Female,American Shorthair,Other,Yes,13,7,Scylla,Scylla1,81H86J,Slight Improvement,No,No,Yes,Yes,No,VomDiarr,NA,31,Yes,No,Yes,Wet.Dry,8/13/17,7/12/19,6/1/11,6.17,Responder
19M49U,recipient,before,Audet,Female,Egyptian,Other,Yes,NA,NA,Fabiola,Fabiola,4EXDUK,Improved,Yes,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,No,Yes,Wet.Dry,5/22/17,10/25/19,NA,7,Responder
20A15J,recipient,before,Nyssa,Female,American Shorthair,Other,Yes,13,7,Scylla,Scylla1,81H86J,Slight Improvement,No,No,Yes,Yes,No,VomDiarr,NA,31,Yes,No,Yes,Wet.Dry,6/26/17,5/23/19,6/1/11,6,Responder
28D65E,recipient,after,Princess Leia,Female,Norwegian Forest cat,Norwegian.Siberian,Yes,3.31,NA,Fabiola,Fabiola,4EXDUK,Improved,No,No,No,Yes,No,Diarrhea,NA,15,No,Yes,Yes,Other,6/5/17,9/13/19,7/31/15,1.83,Responder
2EV4K2,recipient,after,Klaus,Male,Domestic Shorthair,Domestic,Yes,12,5,Tabitha,Tabitha1,37H62V,No Change,Yes,No,No,Yes,No,Diarrhea,28,NA,Yes,No,Yes,Wet.Dry,3/13/18,4/26/19,5/20/10,7.75,Non-Responder
2HH288,recipient,after,Tabbytha,Female,Domestic Shorthair,Domestic,Yes,10,7,Tabitha,Tabitha2,TABITHA,Improved,Yes,Yes,No,No,Yes,Constipation,14,31,No,Yes,No,Raw,7/31/18,1/8/19,2/17/01,17.42,Responder
2KQYAZ,recipient,after,Pyxie,Female,Siamese,Siamese.Burmese,Yes,8,4,Scylla,Scylla1,81H86J,Slight Improvement,No,Yes,No,Yes,No,Diarrhea,3,20,Yes,Yes,No,Wet.Raw,9/21/17,11/1/19,10/1/13,3.92,Responder
2S7DCU,recipient,after,Tilda,Female,Domestic Shorthair,Domestic,Yes,8,5,Tabitha,Tabitha1,37H62V,Improved,Yes,Yes,No,Yes,No,Diarrhea,15,50,Yes,No,Yes,Wet.Dry,3/1/18,6/14/19,1/5/13,5.08,Responder
2ZRVGE,healthy,healthy,Hushpuppy,Female,Ragdoll,Ragdoll,Yes,NA,6,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,9/23/20,12/18/20,NA,8.92,NA
30J83D,recipient,before,Chandra,Male,Domestic Shorthair,Domestic,Yes,14,8,Fabiola,Fabiola,4EXDUK,Improved,No,No,Yes,No,No,Other,NA,NA,Yes,No,No,Wet,5/8/17,10/23/19,1/1/00,17.33,Responder
322GQ2,healthy,healthy,Momo,Male,Domestic Shorthair,Domestic Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,2/3/20,2/19/20,NA,6.83,NA
33Q18M,recipient,after,Calisto,Male,Domestic Shorthair,Domestic,Yes,11.5,5,Fabiola,Fabiola,4EXDUK,No Change,Yes,No,No,No,Yes,Constipation,NA,24,No,Yes,No,Raw,9/15/17,5/31/19,8/1/04,13.08,Non-Responder
35C71O,recipient,before,Pussycat,Male,Domestic Shorthair,Domestic,Yes,14,0,Scylla,Scylla1,81H86J,Improved,No,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,Yes,Yes,Other,5/7/17,9/6/19,1/1/01,16.33,Responder
37H62V,donor,donor,Tabitha,Female,Domestic Shorthair,Domestic Shorthair,Yes,10,5,Tabitha,Tabitha1,37H62V,donor,No,NA,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,5/10/17,1/8/19,7/15/15,1.75,NA
